year,cement_co2,co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2
2006-12-01,1122.9123333333332,31430.649666666668,12727.400000000001,362.5579166666667,5678.523583333334,4490.0081666666665,11280.553,258.70183333333335
2007-01-01,1129.389,31506.789,12776.36,363.985,5694.134,4436.982,11283.665,259.255
2007-02-01,1130.58475,31555.042916666665,12811.063083333334,364.82575,5708.31375,4454.151916666667,11280.970000000001,259.2846666666667
2007-03-01,1131.7804999999998,31603.296833333334,12845.766166666668,365.66650000000004,5722.4935000000005,4471.321833333333,11278.275000000001,259.3143333333333
2007-04-01,1132.97625,31651.550750000002,12880.46925,366.50725,5736.67325,4488.49175,11275.580000000002,259.344
2007-05-01,1134.172,31699.804666666667,12915.172333333334,367.348,5750.853,4505.661666666667,11272.885,259.3736666666667
2007-06-01,1135.36775,31748.05858333333,12949.875416666668,368.18875,5765.03275,4522.831583333334,11270.19,259.4033333333333
2007-07-01,1136.5635,31796.3125,12984.5785,369.0295,5779.2125,4540.0015,11267.495,259.433
2007-08-01,1137.75925,31844.56641666667,13019.281583333333,369.87025,5793.39225,4557.171416666666,11264.800000000001,259.4626666666667
2007-09-01,1138.955,31892.820333333333,13053.984666666667,370.711,5807.572,4574.341333333333,11262.105000000001,259.4923333333333
2007-10-01,1140.15075,31941.074249999998,13088.687750000001,371.55175,5821.75175,4591.51125,11259.41,259.522
2007-11-01,1141.3465,31989.328166666666,13123.390833333335,372.39250000000004,5835.931500000001,4608.681166666666,11256.715,259.5516666666667
2007-12-01,1142.54225,32037.582083333335,13158.093916666667,373.23325,5850.11125,4625.851083333333,11254.02,259.5813333333333
2008-01-01,1143.738,32085.836,13192.797,374.074,5864.291,4643.021,11251.325,259.611
2008-02-01,1146.404,32042.35225,13178.099583333335,374.51800000000003,5854.9295833333335,4675.57975,11230.126916666668,258.27408333333335
2008-03-01,1149.0700000000002,31998.8685,13163.402166666667,374.962,5845.568166666667,4708.1385,11208.928833333333,256.93716666666666
2008-04-01,1151.736,31955.384749999997,13148.70475,375.406,5836.20675,4740.697249999999,11187.73075,255.60025
2008-05-01,1154.402,31911.900999999998,13134.007333333333,375.85,5826.845333333334,4773.255999999999,11166.532666666668,254.26333333333332
2008-06-01,1157.068,31868.41725,13119.309916666667,376.294,5817.483916666667,4805.81475,11145.334583333333,252.92641666666665
2008-07-01,1159.734,31824.9335,13104.6125,376.738,5808.1224999999995,4838.3735,11124.1365,251.5895
2008-08-01,1162.4,31781.44975,13089.915083333333,377.182,5798.761083333333,4870.93225,11102.938416666668,250.25258333333335
2008-09-01,1165.066,31737.966,13075.217666666667,377.626,5789.399666666666,4903.491,11081.740333333333,248.91566666666668
2008-10-01,1167.732,31694.48225,13060.52025,378.07,5780.03825,4936.04975,11060.54225,247.57875
2008-11-01,1170.3980000000001,31650.998499999998,13045.822833333334,378.514,5770.676833333333,4968.608499999999,11039.344166666668,246.24183333333335
2008-12-01,1173.064,31607.51475,13031.125416666666,378.95799999999997,5761.315416666666,5001.1672499999995,11018.146083333333,244.90491666666668
2009-01-01,1175.73,31564.031,13016.428,379.402,5751.954,5033.726,10996.948,243.568
2009-02-01,1182.3256666666666,31714.057416666667,13092.277416666666,379.58933333333334,5788.903166666666,5017.390666666666,11027.192583333333,243.76825000000002
2009-03-01,1188.9213333333332,31864.08383333333,13168.126833333334,379.77666666666664,5825.852333333333,5001.055333333333,11057.437166666667,243.9685
2009-04-01,1195.517,32014.110249999998,13243.97625,379.964,5862.8015,4984.719999999999,11087.68175,244.16875000000002
2009-05-01,1202.1126666666667,32164.136666666665,13319.825666666666,380.1513333333333,5899.750666666667,4968.384666666667,11117.926333333333,244.369
2009-06-01,1208.7083333333333,32314.163083333333,13395.675083333334,380.33866666666665,5936.699833333333,4952.049333333333,11148.170916666666,244.56925
2009-07-01,1215.304,32464.1895,13471.5245,380.52599999999995,5973.648999999999,4935.714,11178.4155,244.7695
2009-08-01,1221.8996666666667,32614.215916666664,13547.373916666666,380.7133333333333,6010.598166666667,4919.3786666666665,11208.660083333334,244.96975
2009-09-01,1228.4953333333333,32764.24233333333,13623.223333333333,380.90066666666667,6047.547333333333,4903.043333333333,11238.904666666667,245.17000000000002
2009-10-01,1235.091,32914.268749999996,13699.07275,381.08799999999997,6084.4965,4886.7080000000005,11269.14925,245.37025
2009-11-01,1241.6866666666665,33064.29516666666,13774.922166666665,381.2753333333333,6121.4456666666665,4870.372666666667,11299.393833333334,245.5705
2009-12-01,1248.2823333333333,33214.32158333333,13850.771583333333,381.4626666666666,6158.394833333334,4854.037333333334,11329.638416666667,245.77075
2010-01-01,1254.878,33364.348,13926.621,381.65,6195.344,4837.702,11359.883,245.971
2010-02-01,1262.7881666666667,33457.903333333335,13994.163083333333,380.7025,6209.6405,4848.2359166666665,11362.23325,248.375
2010-03-01,1270.6983333333333,33551.458666666666,14061.705166666667,379.755,6223.937,4858.769833333334,11364.5835,250.779
2010-04-01,1278.6084999999998,33645.013999999996,14129.24725,378.8075,6238.2335,4869.30375,11366.93375,253.183
2010-05-01,1286.5186666666666,33738.56933333333,14196.789333333332,377.85999999999996,6252.53,4879.837666666667,11369.284,255.58700000000002
2010-06-01,1294.4288333333334,33832.12466666667,14264.331416666666,376.91249999999997,6266.8265,4890.371583333334,11371.63425,257.991
2010-07-01,1302.339,33925.68,14331.8735,375.965,6281.123,4900.905500000001,11373.984499999999,260.395
2010-08-01,1310.2491666666665,34019.23533333333,14399.415583333333,375.0175,6295.4195,4911.439416666667,11376.33475,262.79900000000004
2010-09-01,1318.1593333333333,34112.79066666667,14466.957666666667,374.07,6309.716,4921.973333333333,11378.685,265.20300000000003
2010-10-01,1326.0695,34206.346000000005,14534.499749999999,373.12249999999995,6324.0125,4932.507250000001,11381.035249999999,267.607
2010-11-01,1333.9796666666666,34299.901333333335,14602.041833333333,372.17499999999995,6338.309,4943.041166666667,11383.3855,270.011
2010-12-01,1341.8898333333332,34393.456666666665,14669.583916666666,371.22749999999996,6352.6055,4953.575083333334,11385.73575,272.415
2011-01-01,1349.8,34487.012,14737.126,370.28,6366.902,4964.109,11388.086,274.819
2011-02-01,1352.6975,34530.283500000005,14752.5955,371.11924999999997,6378.043,4952.679416666667,11400.88775,274.9411666666667
2011-03-01,1355.595,34573.555,14768.065,371.95849999999996,6389.184,4941.249833333333,11413.6895,275.06333333333333
2011-04-01,1358.4924999999998,34616.8265,14783.5345,372.79774999999995,6400.325,4929.820250000001,11426.49125,275.18550000000005
2011-05-01,1361.3899999999999,34660.098,14799.004,373.637,6411.466,4918.390666666667,11439.293,275.3076666666667
2011-06-01,1364.2875,34703.3695,14814.4735,374.47625,6422.607,4906.961083333334,11452.09475,275.42983333333336
2011-07-01,1367.185,34746.641,14829.943,375.3155,6433.748,4895.5315,11464.896499999999,275.552
2011-08-01,1370.0825,34789.9125,14845.4125,376.15475,6444.889,4884.1019166666665,11477.69825,275.6741666666667
2011-09-01,1372.98,34833.184,14860.882,376.99399999999997,6456.03,4872.672333333333,11490.5,275.79633333333334
2011-10-01,1375.8775,34876.4555,14876.3515,377.83325,6467.171,4861.242749999999,11503.30175,275.9185
2011-11-01,1378.7749999999999,34919.727,14891.821,378.6725,6478.312,4849.813166666667,11516.103500000001,276.0406666666667
2011-12-01,1381.6725,34962.998499999994,14907.290500000001,379.51175,6489.453,4838.383583333333,11528.90525,276.16283333333337
2012-01-01,1384.57,35006.27,14922.76,380.351,6500.594,4826.954,11541.707,276.285
2012-02-01,1389.5296666666666,35032.34775,14931.237166666668,380.94966666666664,6504.0884166666665,4810.3845833333335,11548.7685,277.77133333333336
2012-03-01,1394.4893333333332,35058.4255,14939.714333333333,381.54833333333335,6507.582833333334,4793.815166666666,11555.83,279.2576666666667
2012-04-01,1399.449,35084.503249999994,14948.1915,382.147,6511.07725,4777.24575,11562.8915,280.744
2012-05-01,1404.4086666666667,35110.581,14956.668666666666,382.7456666666667,6514.571666666667,4760.676333333333,11569.953,282.23033333333336
2012-06-01,1409.3683333333333,35136.65875,14965.145833333334,383.34433333333334,6518.066083333333,4744.106916666667,11577.0145,283.7166666666667
2012-07-01,1414.328,35162.7365,14973.623,383.943,6521.5605,4727.5375,11584.076000000001,285.203
2012-08-01,1419.2876666666666,35188.814249999996,14982.100166666667,384.5416666666667,6525.054916666667,4710.968083333333,11591.1375,286.6893333333333
2012-09-01,1424.2473333333332,35214.892,14990.577333333335,385.14033333333333,6528.549333333333,4694.398666666667,11598.199,288.17566666666664
2012-10-01,1429.2069999999999,35240.969750000004,14999.0545,385.73900000000003,6532.04375,4677.82925,11605.2605,289.662
2012-11-01,1434.1666666666667,35267.0475,15007.531666666668,386.3376666666667,6535.538166666667,4661.2598333333335,11612.322,291.1483333333333
2012-12-01,1439.1263333333334,35293.12525,15016.008833333333,386.9363333333334,6539.032583333334,4644.690416666666,11619.3835,292.63466666666665
2013-01-01,1444.086,35319.203,15024.486,387.535,6542.527,4628.121,11626.445,294.121
